docucomp_ref,source_files,sources_preview
227737d0-428b-11df-9879-0800200c9a66,3,../../oer/bedi_renderer/out_collections/Biolum2009_collection.xml; ../../oer/bedi_renderer/out_collections/ETTA2004_collection.xml; ../../oer/bedi_renderer/out_collections/ODS2007_collection.xml
401b6d95-a542-4309-bf52-8c9b20caeccd,3,../../oer/bedi_renderer/out_collections/Biolum2009_collection.xml; ../../oer/bedi_renderer/out_collections/ETTA2004_collection.xml; ../../oer/bedi_renderer/out_collections/ODS2007_collection.xml
440b3ac2-64a5-46e2-9846-38305718b644,3,../../oer/bedi_renderer/out_collections/Biolum2009_collection.xml; ../../oer/bedi_renderer/out_collections/ETTA2004_collection.xml; ../../oer/bedi_renderer/out_collections/ODS2007_collection.xml
493b9ff1-4465-404d-bcdf-e0fe1cedb14f,3,../../oer/bedi_renderer/out_collections/Biolum2009_collection.xml; ../../oer/bedi_renderer/out_collections/ETTA2004_collection.xml; ../../oer/bedi_renderer/out_collections/ODS2007_collection.xml
5c633d5b-5d71-446a-bfd2-f1a7ce3dd234,3,../../oer/bedi_renderer/out_collections/Biolum2009_collection.xml; ../../oer/bedi_renderer/out_collections/ETTA2004_collection.xml; ../../oer/bedi_renderer/out_collections/ODS2007_collection.xml
9f0de6e6-428b-11df-9879-0800200c9a66,3,../../oer/bedi_renderer/out_collections/Biolum2009_collection.xml; ../../oer/bedi_renderer/out_collections/ETTA2004_collection.xml; ../../oer/bedi_renderer/out_collections/ODS2007_collection.xml
dadd4ac3-2b9f-4db5-8603-71285b94c3d7,3,../../oer/bedi_renderer/out_collections/Biolum2009_collection.xml; ../../oer/bedi_renderer/out_collections/ETTA2004_collection.xml; ../../oer/bedi_renderer/out_collections/ODS2007_collection.xml
e8163b1b-fb5a-4f4e-8d5c-ed06da10e21b,3,../../oer/bedi_renderer/out_collections/Biolum2009_collection.xml; ../../oer/bedi_renderer/out_collections/ETTA2004_collection.xml; ../../oer/bedi_renderer/out_collections/ODS2007_collection.xml
ED9AF398-D6CF-A63A-D75D527D366248F3,3,../../oer/bedi_renderer/out_collections/Biolum2009_collection.xml; ../../oer/bedi_renderer/out_collections/ETTA2004_collection.xml; ../../oer/bedi_renderer/out_collections/ODS2007_collection.xml
